id;name;url;start;end;keywords;lead
PR001;Participatory Knowledge Practices in Analogue and Digital Image Archives (PIA);https://about.participatory-archives.ch/;2021;2025;"Archives; Citizen Science; Anthropology; Design Research; Photography";"G001; G027"
PR002;Confederatio Ludens: Swiss History of Games, Play and Game Design 1968-2000;https://data.snf.ch/grants/grant/209248;2023;2027;"Game Studies; Design Research; History";"G002; G027"
PR003;Impresso - Media Monitoring of the Past II. Beyond Borders: Connecting Historical Newspapers and Radio;https://impresso-project.ch/;2023;2027;"Newspapers; HTR";G006
PR004;Linked Data & Relational Databases: Grounded Knowledge;https://www.dh.unibe.ch/forschung/linked_data__relationale_datenbanken_gewis/index_ger.html;;;"Linked Data; Musicology; Archaeology; Theater Studies";G002
PR005;SwissBritNet: Swiss-British cultural exchange and knowledge networks 1600-1780;https://data.snf.ch/grants/grant/215254;2023;2027;"Gender Studies; English Literature; History; Linked Data";G001
PR006;"Shared Reading in the Age of Digitalization: Online Discussions, Face-to-Face Groups and the Role of Absorption in the Promotion of Reading and Well-Being
";https://data.snf.ch/grants/grant/203293;2022;2027;"Empirical Literary Studies; Medical Humanities; Shared Reading";G001
PR007;Linked Open Data for the Humanities and Social Sciences (LOD4HSS);https://www.geovistory.org/lod4hss;2022;2024;Linked Data;G002
PR008;;;;;;
PR009;;;;;;
PR010;;;;;;
PR011;;;;;;
PR012;;;;;;
PR013;;;;;;
PR014;;;;;;
PR015;;;;;;
PR016;;;;;;
PR017;;;;;;
PR018;;;;;;
PR019;;;;;;
PR020;;;;;;
PR021;;;;;;
PR022;;;;;;
PR023;;;;;;
PR024;;;;;;
PR025;;;;;;
PR026;;;;;;
PR027;;;;;;
PR028;;;;;;
PR029;;;;;;
PR030;;;;;;
PR031;;;;;;
PR032;;;;;;
PR033;;;;;;
PR034;;;;;;
PR035;;;;;;
PR036;;;;;;
PR037;;;;;;
PR038;;;;;;
PR039;;;;;;
PR040;;;;;;
PR041;;;;;;
PR042;;;;;;
PR043;;;;;;
PR044;;;;;;
PR045;;;;;;
PR046;;;;;;
PR047;;;;;;
PR048;;;;;;
PR049;;;;;;
PR050;;;;;;
PR051;;;;;;
PR052;;;;;;
PR053;;;;;;
PR054;;;;;;
PR055;;;;;;
PR056;;;;;;
PR057;;;;;;
PR058;;;;;;
PR059;;;;;;
PR060;;;;;;
PR061;;;;;;
PR062;;;;;;
PR063;;;;;;
PR064;;;;;;
PR065;;;;;;
PR066;;;;;;
PR067;;;;;;
PR068;;;;;;
PR069;;;;;;
PR070;;;;;;
PR071;;;;;;
PR072;;;;;;
PR073;;;;;;
PR074;;;;;;
PR075;;;;;;
PR076;;;;;;
PR077;;;;;;
PR078;;;;;;
PR079;;;;;;
PR080;;;;;;
PR081;;;;;;
PR082;;;;;;
PR083;;;;;;
PR084;;;;;;
PR085;;;;;;
PR086;;;;;;
PR087;;;;;;
PR088;;;;;;
PR089;;;;;;
PR090;;;;;;
PR091;;;;;;
PR092;;;;;;
PR093;;;;;;
PR094;;;;;;
PR095;;;;;;
PR096;;;;;;
PR097;;;;;;
PR098;;;;;;
PR099;;;;;;
PR100;;;;;;
